"rsq","mu","sampling"
0.9953575418949054,132.62566558250785,"Binomial"
0.9958365651814594,120.06128470391937,"Beta-Binomial rho = 0.01"
0.9884057829419213,87.17685007015548,"Beta-Binomial rho = 0.05"
0.9860715699854097,60.6071150379442,"Beta-Binomial rho = 0.1"
0.9978939767356156,114.08307815992639,"Binomial"
0.992892648213046,108.80688775717994,"Beta-Binomial rho = 0.01"
0.9899033751545732,89.78042702396945,"Beta-Binomial rho = 0.05"
0.9871588827987785,71.25642829348176,"Beta-Binomial rho = 0.1"
0.9982606436055528,111.75065300647145,"Binomial"
0.9985336638810672,110.52482057028666,"Beta-Binomial rho = 0.01"
0.9968135331287068,84.46396284522217,"Beta-Binomial rho = 0.05"
0.998983540934014,56.137406766764656,"Beta-Binomial rho = 0.1"
0.9986173117045037,66.08190497979548,"Binomial"
0.9985311846191076,66.15333975051823,"Beta-Binomial rho = 0.01"
0.9950967505901375,59.37520099746159,"Beta-Binomial rho = 0.05"
0.9871462053467671,44.420473042941886,"Beta-Binomial rho = 0.1"
0.9953155741613628,125.4720048236251,"Binomial"
0.993558614894802,117.29098891681164,"Beta-Binomial rho = 0.01"
0.9820776140712787,94.87236121064514,"Beta-Binomial rho = 0.05"
0.9881645533608225,72.88161693253532,"Beta-Binomial rho = 0.1"
0.9933665629567072,72.46336006478279,"Binomial"
0.9950897107535307,68.39995057639102,"Beta-Binomial rho = 0.01"
0.9934768037652637,57.42184962553749,"Beta-Binomial rho = 0.05"
0.9925814397580773,51.2495884153276,"Beta-Binomial rho = 0.1"
0.996003126314849,68.0742752815033,"Binomial"
0.9936958889632539,74.1283921278166,"Beta-Binomial rho = 0.01"
0.995151027385406,53.61938189510521,"Beta-Binomial rho = 0.05"
0.9915684465533026,42.75499287766727,"Beta-Binomial rho = 0.1"
0.9968699332668298,87.0647870045714,"Binomial"
0.993867567051817,93.20971447937417,"Beta-Binomial rho = 0.01"
0.9894210258500922,86.51449323470388,"Beta-Binomial rho = 0.05"
0.9865453002724344,77.83789868682925,"Beta-Binomial rho = 0.1"
0.9915486261939072,52.6134926289988,"Binomial"
0.9964300362667722,52.58840005442919,"Beta-Binomial rho = 0.01"
0.988560873013679,46.096099892534525,"Beta-Binomial rho = 0.05"
0.9847879195551869,31.46036058242388,"Beta-Binomial rho = 0.1"
0.9981728003455675,94.03134791295948,"Binomial"
0.9982329832914647,90.08834682228893,"Beta-Binomial rho = 0.01"
0.9969862461943468,80.3056212056834,"Beta-Binomial rho = 0.05"
0.9976223213435268,61.40724520765948,"Beta-Binomial rho = 0.1"
0.9953049468800528,82.75384287516589,"Binomial"
0.9995953283403801,84.4215919714799,"Beta-Binomial rho = 0.01"
0.9923033705141504,74.89108900653864,"Beta-Binomial rho = 0.05"
0.9867900604667127,60.2318622123163,"Beta-Binomial rho = 0.1"
0.9969245685445433,71.82240184147506,"Binomial"
0.9989669403245434,74.33810368037535,"Beta-Binomial rho = 0.01"
0.9958403412195137,61.820224557769166,"Beta-Binomial rho = 0.05"
0.9878781122896169,47.194861312958274,"Beta-Binomial rho = 0.1"
0.9978777083418563,98.22301623649642,"Binomial"
0.9994116439364249,97.15723166492825,"Beta-Binomial rho = 0.01"
0.9926621638931908,94.63252632662936,"Beta-Binomial rho = 0.05"
0.9942278521659696,76.75102598714003,"Beta-Binomial rho = 0.1"
0.9882647760277651,79.72172361362429,"Binomial"
0.9925118886087564,74.87664010558012,"Beta-Binomial rho = 0.01"
0.9725497140350464,58.07677439187493,"Beta-Binomial rho = 0.05"
0.987263130470464,52.01923839717233,"Beta-Binomial rho = 0.1"
0.9977364967596235,110.08446224768875,"Binomial"
0.9959250813140461,113.4247435492637,"Beta-Binomial rho = 0.01"
0.9945225662621298,82.52384243636678,"Beta-Binomial rho = 0.05"
0.986351539638573,67.88257813211926,"Beta-Binomial rho = 0.1"
0.9596894407806258,33.65018257237529,"Binomial"
