DP ALT VAF
19 9 0.473684210526316
27 7 0.259259259259259
327 11 0.0336391437308868
17 5 0.294117647058824
11 5 0.454545454545455
73 35 0.479452054794521
197 80 0.406091370558376
80 28 0.35
133 6 0.0451127819548872
39 18 0.461538461538462
319 73 0.22884012539185
101 38 0.376237623762376
158 71 0.449367088607595
94 26 0.276595744680851
109 50 0.458715596330275
34 3 0.0882352941176471
318 30 0.0943396226415094
123 13 0.105691056910569
154 8 0.051948051948052
73 7 0.0958904109589041
31 11 0.354838709677419
5 3 0.6
202 89 0.440594059405941
104 48 0.461538461538462
52 34 0.653846153846154
259 130 0.501930501930502
43 13 0.302325581395349
62 5 0.0806451612903226
51 25 0.490196078431373
22 9 0.409090909090909
292 130 0.445205479452055
13 4 0.307692307692308
410 226 0.551219512195122
135 67 0.496296296296296
10 4 0.4
101 48 0.475247524752475
84 35 0.416666666666667
14 5 0.357142857142857
15 9 0.6
92 9 0.0978260869565217
62 34 0.548387096774194
142 58 0.408450704225352
71 35 0.492957746478873
154 10 0.0649350649350649
272 11 0.0404411764705882
121 61 0.504132231404959
195 79 0.405128205128205
315 143 0.453968253968254
140 60 0.428571428571429
2 2 1
18 4 0.222222222222222
128 56 0.4375
27 12 0.444444444444444
176 78 0.443181818181818
207 73 0.352657004830918
62 27 0.435483870967742
144 64 0.444444444444444
161 40 0.248447204968944
151 54 0.357615894039735
154 65 0.422077922077922
473 14 0.0295983086680761
113 51 0.451327433628319
278 103 0.370503597122302
82 36 0.439024390243902
55 8 0.145454545454545
8 3 0.375
7 4 0.571428571428571
25 3 0.12
103 10 0.0970873786407767
329 23 0.0699088145896656
330 21 0.0636363636363636
45 5 0.111111111111111
11 3 0.272727272727273
63 7 0.111111111111111
114 9 0.0789473684210526
103 7 0.0679611650485437
218 105 0.481651376146789
63 8 0.126984126984127
113 9 0.079646017699115
33 12 0.363636363636364
93 35 0.376344086021505
112 54 0.482142857142857
256 112 0.4375
46 20 0.434782608695652
100 34 0.34
250 117 0.468
426 189 0.443661971830986
756 289 0.382275132275132
123 58 0.471544715447154
42 18 0.428571428571429
232 11 0.0474137931034483
230 11 0.0478260869565217
15 6 0.4
24 10 0.416666666666667
40 16 0.4
190 85 0.447368421052632
138 64 0.463768115942029
70 23 0.328571428571429
196 81 0.413265306122449
57 11 0.192982456140351
49 10 0.204081632653061
3 2 0.666666666666667
142 67 0.471830985915493
25 4 0.16
111 51 0.459459459459459
173 78 0.450867052023121
53 21 0.39622641509434
247 110 0.445344129554656
